Comunidades y ciudades autónomas;Sexo;País de nacimiento;Grupo quinquenal de edad;Periodo;Total
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2012S2;-446
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2012S1;-314
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2011S2;-56
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2011S1;-51
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2010S2;-64
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2010S1;-41
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2009S2;-136
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2009S1;17
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2008S2;319
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2008S1;732
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2022S1;249
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2021S2;130
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2021S1;-258
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2020S2;392
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2020S1;14
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2019S2;564
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2019S1;319
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2018S2;265
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2018S1;-391
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2017S2;-228
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2017S1;-480
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2016S2;-228
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2016S1;-134
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2015S2;-175
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2015S1;-168
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2014S2;-224
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2014S1;-257
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2013S2;-358
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2013S1;-466
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2012S2;-126
